STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_resid,Country of residence,terrtypo,Territorial typology,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2021,,9347922,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2022,,13770590,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2023,,15121071,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CY,Cyprus,2024,,17351212,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2012,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2013,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2014,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2015,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2016,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2017,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2018,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2019,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2020,,0,,,,,
dataflow,ESTAT:TOUR_OCC_NINATDC(1.0),Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area,A,Annual,TOTAL,Total,CST_A,Coastal areas,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",NR,Number,CZ,Czechia,2021,,0,,,,,
